text,l1,l2,l3
Colloid and Polymer Science is a peer-reviewed scientific journal which publishes in the field of colloid and polymer science and its interdisciplinary interactions. The journal is published by Springer Science+Business Media. It was first published in 1906.,Work,PeriodicalLiterature,AcademicJournal
Akira Watase (渡瀬晶 Watase Akira) is a Japanese former AV idol who retired from the adult video industry in 2005.,Agent,Actor,AdultActor
Asuka Yūki (結城明日香 Yūki Asuka) is a prolific Japanese AV idol whose arrest for indecent exposure made international news in 2006.,Agent,Actor,AdultActor
"Cayenne Klein (born March 12, 1986) is a Hungarian pornographic actress, webcam model, and jewelry designer.",Agent,Actor,AdultActor
"Nikki Charm (born Shannon Louise Eaves on February 21, 1966) is an American pornographic actress. She is a member of the Adult Video News Hall of Fame and the XRCO Hall of Fame. Between 1984 and 1990 Charm appeared in nearly 50 videos and was a contract performer with Vivid Entertainment for some time. Charm stopped appearing in adult films in 1990, but spent some time as an exotic dancer. She made a brief return to the adult film industry between 1999 and 2000, when she appeared in six titles. In 1986 the media revealed that porn superstar Traci Lords had been appearing in adult videos while underage. Federal authorities suspected that other females may also have performed in such videos before they were legally able, including Charm, and subpoenas were issued seeking access to records confirming her age. Unlike Lords, Charm was able to produce documentation verifying that she had made her first adult film soon after her 18th birthday and was therefore legally able to appear in pornographic movies. In October 2002 she was arrested and charged with several counts of burglary and grand theft auto. She was convicted and sentenced to a five-year prison term, which she served in the Central California Women's Facility near Chowchilla. In early 2011 she returned to the adult industry, working as a production manager, and performed in a scene with Tom Byron for his \""Seasoned Players\"" series of adult DVDs.",Agent,Actor,AdultActor
"Tawny Peaks (born May 10, 1970 in New York, New York, U.S.) is the stage name of a retired pornographic actress. In 1998, Peaks won an arbitrated case against a Florida physical therapist who had sued her, claiming he suffered from whiplash because she swung her breasts (the size of which was variously reported at the time as 60HHH and 69HH) into his face while dancing at a club his friends had taken him to for his bachelor party. The man said that her breasts were hard like cement blocks. The case went on television to The People's Court where former New York City Mayor Ed Koch was the arbiter. After having Peaks appraised by a female bailiff, Koch ruled in favor of Peaks, saying that the breasts were \""about two pounds each and of average firmness\"", and not dangerous. She retired in 1999, and subsequently had her implants removed, auctioning them on eBay. One of the implants was bought by the Internet casino company GoldenPalace.com for $16,766US.",Agent,Actor,AdultActor
"Tammi Ann (born October 4, 1971 in Santa Cruz, California) is a former American pornographic film actress. She debuted in around 1993 and left the adult film industry in 1998. She made around 200 adult movies during her career.",Agent,Actor,AdultActor
"Vanessa del Rio (born March 31, 1952) is a retired American pornographic actress.",Agent,Actor,AdultActor
"Cytherea (born September 27, 1981) is an American pornographic actress and model. She is known for her ability to ejaculate (known as \""squirting\"" in the adult industry) while performing sex acts.",Agent,Actor,AdultActor
"Yasuko Matsuyuki (松雪 泰子 Yasuko Matsuyuki, born November 28, 1972 in Saga Prefecture) is a Japanese actress and singer signed to Stardust Promotion.",Agent,Actor,AdultActor
"Dany Verissimo, also known by her former stage name Ally Mac Tyana (born June 27, 1982), is a French actress, model and retired pornographic performer.",Agent,Actor,AdultActor
"Cameron Jackson (born 16 February 1986, Děčín, Czechoslovakia) is a former pornographic actor who appeared in video and photographic productions, predominately gay bareback, and occasionally in transsexual, heterosexual and bisexual productions and pornographic magazines. He won several awards; most noticeably, Best Gay Actor award at the Venus adult industry show in Berlin (2005), and the Best Actor at the Annual European Gay Porn Awards (Eroticline Awards) in Amsterdam (2007) and the EGPA website . He retired from acting in 2007, moved to Amsterdam and works for studio STAXUS as a warehouse assistant in their Amsterdam headquarters.",Agent,Actor,AdultActor
"Rui Sakuragi (桜樹ルイ Sakuragi Rui), is a former Japanese AV Idol, gravure idol and erotic dancer who has been described as a \""real AV Queen\"", the \""top Japanese AV idol of the mid-1990s\"" and the \""biggest star\"" in AV in 1992. She has also appeared widely in mainstream films and videos and on TV.",Agent,Actor,AdultActor
"Kokoro Amano (天野♥こころ Amano♥Kokoro), is an AV Idol and glamour model who starred in adult videos between 2001 and 2004 . She worked mainly for Soft On Demand and Moodyz.",Agent,Actor,AdultActor
"Chloe Jones (nee Melinda Dee Jones, June 17, 1975 – June 4, 2005) was an American pornographic actress.",Agent,Actor,AdultActor
"CoCo Brown (born September 16, 1978) is an American former pornographic actress.",Agent,Actor,AdultActor
"Briana Blair (born June 24, 1987) is a former NBA cheerleader, retired American pornographic actress, and nude model.",Agent,Actor,AdultActor
"Patrick Collins is an American heterosexual pornographic film producer-director, the birth name of the Pornographic film actor Roscoe Bowltree, owner of Elegant Angel Productions, and a member of the AVN Hall of Fame and the XRCO Hall of Fame.",Agent,Actor,AdultActor
"Sara Tommasi (born 9 June 1981) is an Italian actress and television personality. She made her film debut in the 2008 comedy Ultimi della classe playing a teacher who had appeared in a \""sexy\"" calendar shoot. Tommasi herself had appeared topless in a Max Calendar shoot in 2007. In 2010 she appeared nude in an episode of the television series Crimini. She has dated footballers Mario Balotelli and Ronaldinho. She was an attendee at former prime minister Silvio Berlusconi's private parties.",Agent,Actor,AdultActor
"Keisha (born October 25, 1966) is the stage name of an American erotic dancer and retired pornographic actress. She is an AVN and XRCO Hall of Fame inductee.",Agent,Actor,AdultActor
"Jeremy James Sons known as Mark Dalton (born March 6, 1980) is an American gay pornographic film actor and pornographic magazine model. Dalton's activity with other actors in gay films has been limited to masturbation. He began his career in the adult entertainment business dancing in the many Miami, Florida nightclubs.",Agent,Actor,AdultActor
"Network Aviation is an airline based at Perth Airport, operating air charter services in support of \""fly-in fly-out\"" mining operations throughout Western Australia. In partnership with subsidiary engineering provider Network Turbine Solutions, Network Aviation operates over 50 flights a week on behalf of mining companies to facilitate crew changes at remote sites.",Agent,Company,Airline
"Saga Airlines was a charter airline based in Istanbul, Turkey which served the tourism industry.",Agent,Company,Airline
"Alkan Air Ltd. is an airline based in Whitehorse, Yukon, Canada. It operates seven-day-a-week charter and air ambulance (medevac) services that cover northern and western Canada and Alaska.",Agent,Company,Airline
"Alaska Airlines is an American airline based in the Seattle metropolitan area, Washington. Before this they were McGee Airways in 1932, offering flights from Anchorage, Alaska. Today, Alaska has flights to more than one hundred destinations in the contiguous United States, Alaska, Hawaii, Canada, Costa Rica and Mexico. The airline is a major air carrier and, along with its sister airline Horizon Air, is part of the Alaska Air Group. The airline has been ranked by J. D. Power and Associates as having the highest customer satisfaction of the traditional airlines for nine consecutive years. The airline operates its largest hub at Seattle–Tacoma International Airport (known as Sea-Tac). It also operates secondary hubs in Los Angeles, Portland and Anchorage, and focus cities at San Diego and San Jose. Although most of its revenue and traffic comes from locations outside of Alaska, the airline plays a major role in air transportation in the state. It operates many flights linking small towns to major transportation hubs and carries more passengers between Alaska and the contiguous United States than any other airline. Alaska Airlines is not a member of any of the three major airline alliances. However, it has codeshare agreements with some members of oneworld, such as American Airlines, British Airways, and LATAM Chile, and with some SkyTeam members, including Air France, KLM, Korean Air and Delta Air Lines. Delta, despite cooperating through codeshares, is a major competitor to Alaska Air in its Sea-Tac market. The Alaska Air Group has been a part of the Dow Jones Transportation Average since 2011, when it replaced the then-parent company of American Airlines, AMR Corporation, in the index.",Agent,Company,Airline
"evoJets is a private aviation company specializing in private jet charter and aircraft sales & acquisitions. Founded in Aspen, CO in 2006, the company is now headquartered in New York City. evoJets primarily offers on-demand jet charter services across USA and other international destinations. It is a registered member of the Better Business Bureau in New York and Colorado, but provides charter services in the US and internationally.",Agent,Company,Airline
"Era Aviation was an airline based in Anchorage, Alaska, USA. It operated a network of services from Anchorage as part of Alaska Airlines Partnerships. Its main base was Ted Stevens Anchorage International Airport. Era Aviation has since been renamed Corvus Airlines who currently do business as Ravn Alaska.",Agent,Company,Airline
"Regentair was an airline with its headquarters in Westchester, Los Angeles, California. The airline, founded in October 1982 as Firstair, operated scheduled flights between New York City and Los Angeles with Boeing 727s modified to carry 34 passengers in an all first class cabin. The airline's planes were also available for charter. The airline offered free limousine and helicopter service to their flights, but fares were 50% higher than their competition's prices. From 1982 to 1985, when the Transportation Department approved its operation as a scheduled carrier, it had operated entirely as a charter service. Approval had been withheld because of the corporation's ties to persons alleged to have ties to organized crime. Regent Tours International acquired the airline in January 1986. Shortly after this acquisition, Regentair announced plans to initiate operations to Honolulu, Hawaii using Boeing 747s from Los Angeles and other United States cities.",Agent,Company,Airline
"Air Peace is a private Nigerian airline with its head office in Lagos State, Nigeria. Air Peace, which provides passenger and charter services, serves the major cities of Nigeria. It was founded in 2013.Air Peace had been approved as national carrier into the five countries by the Federal Government. Destinations Atlanta, United States of America; Dubai, United Arab Emirates; Johannesburg, South Africa; Mumbai, India Guangzhou, China. Read more at: Read more at:",Agent,Company,Airline
AeroLogic is a German cargo airline based in Schkeuditz near Leipzig. It is a joint-venture between DHL Express and Lufthansa Cargo which operates scheduled international and long-haul cargo services out of its hubs Leipzig/Halle Airport and Frankfurt Airport.,Agent,Company,Airline
"North Canada Air was an airline in Canada which was acquired by Time Air. Norcanair traced its ancestry to M&C Aviation, founded in 1930 by aviators Angus Campbell and Richmond Mayson. They soon moved their firm to Prince Albert, where it flew chartered flights into northern Saskatchewan. During the Second World War, M&C ran a large aircraft overhaul facility in Prince Albert. Sold to the province's government in 1947, M&C was renamed Saskatchewan Government Airways. It was \""privatized\"" in 1965.",Agent,Company,Airline
"LATAM Airlines Brasil, formerly TAM Airlines (Portuguese: TAM Linhas Aéreas), is the Brazilian brand of LATAM Airlines Group. The merger of TAM with LAN Airlines was completed on June 22, 2012. The company is currently the largest Brazilian airline by market share and fleet size, though it is not Brazil's official flag carrier. Before the takeover, TAM was Brazil's and Latin America's largest airline. Its headquarters are in São Paulo, operating scheduled services to destinations within Brazil, as well as international flights to Europe and other parts of North and South America. Shares in the company were traded on the São Paulo Exchange (BM&F Bovespa) and New York Stock Exchange as \""TAM\"". Prior to the merger with LAN, the company closed its capital, transferring its shares to LATAM Airlines Group. However, in August 2015, it was announced that the two airlines would fully rebrand as LATAM, with one livery to be applied on all aircraft by 2018. According to the National Civil Aviation Agency of Brazil (ANAC), between January and December 2015 LATAM had 36.7% of the domestic and 78.5% of the international market shares in terms of passengers per kilometer flown, making it the largest airline in Brazil. The airline withdrew from the Star Alliance and joined Oneworld effective March 31, 2014.",Agent,Company,Airline
"Norfolk Jet Express Pty Ltd was an airline based on Norfolk Island offering scheduled, international, domestic, passenger and cargo services. It ceased operations in June 2005 due to financial difficulties.",Agent,Company,Airline
"Loong Air (simplified Chinese: 长龙航空; traditional Chinese: 長龍航空; pinyin: Chánglóng Hángkōng) is a Chinese airline with its headquarters in the Loong Air Office Building on the property of Hangzhou Xiaoshan International Airport in Xiaoshan District, Hangzhou, Zhejiang. Its main hub is in Hangzhou. Approved by the Civil Aviation Administration of China, it started domestic services in 2013. On 25 September 2013, the airline signed a memorandum of understanding with Airbus for the purchase of 20 Airbus A320 twin-engined aircraft. The company's full name is Zhejiang Loong Airlines Co. Ltd. It was originally a cargo airline named CDI Cargo Airlines (simplified Chinese: 长龙国际货运航空有限公司; traditional Chinese: 長龍國際貨運航空有限公司; pinyin: Chánglóng Guójì Huòyùn Hángkōng Yǒuxiàn Gōngsī), which started services in 2012 with one Boeing 737-300F freighter.",Agent,Company,Airline
"Air Comet (formerly Air Plus Comet) was an airline based in Madrid, Spain. It operated scheduled long-haul services from Madrid to 13 destinations in Central and South America, as well as services in Europe. Its main base was Terminal 1 at Madrid Barajas Airport. The airline cooperated with airlines such as AeroSur through codeshare agreements.",Agent,Company,Airline
"Nationwide Airlines was an airline based in Lanseria, South Africa. It operated scheduled domestic and international services. Its main base was OR Tambo International Airport, Johannesburg. On April 29, 2008 the Airline halted operations.",Agent,Company,Airline
"Africa One was a privately owned pan-African airline. It was initially based in Entebbe, Uganda, with aircraft wet leased from Africa One Holdings, registered in Ireland. Africa One Congo was a subsidiary based in Kinshasa. It is not clear if the same airline or another of the same name was the operator of the An-26 that crashed with high fatality numbers in the DRC in 2007, but most likely it was operated by the company's Congolese subsidiary, because soon after the incident its operations shut down. Africa One operated in years 2002-2004 and Africa One Congo operated in years 2002-2007. The airline is on the List of air carriers banned in the European Union.",Agent,Company,Airline
"OJSC \""Belgorod Air Enterprise\"" (Russian: ОАО «Белгородское авиапредприятие») was an airline based in Belgorod, Russia. It operated domestic charter and scheduled passenger services in central Russia. The company was founded in 1995 out of Central Districts Airlines and the Aeroflot Belgorod Division (as a so-called Babyflot). In 2005, it was liquidated.",Agent,Company,Airline
"Bighorn Airways is an American charter company based in Sheridan, Wyoming, United States. It operates domestic charter passenger and cargo services, including contract services. Its main base is Sheridan County Airport.",Agent,Company,Airline
"Florida West International Airways, a subsidiary of Atlas Air Worldwide Holdings, is a cargo airline based at Miami International Airport. It operates scheduled and charter services worldwide, with its main markets in Latin America, the Caribbean and the United States.",Agent,Company,Airline
"Sunworld International Airways was a small, all-jet airline that operated in the western USA from 1983 until liquidated in 1988. Towards the end of operations it was known as Sunworld Airlines.",Agent,Company,Airline
"Okhtyrka is an aviation training air base in Ukraine located 8 km east of Okhtyrka city in Sumy Oblast. It is a well-maintained, small military facility. It has been home to 809 UAP (809th Aviation Training Regiment) flying 102 L-39C aircraft as of 1992.",Place,Infrastructure,Airport
"Victoria Inner Harbour Airport or Victoria Harbour Water Airport (IATA: YWH, ICAO: CYWH) is located in Victoria Harbour, adjacent to Victoria, British Columbia, Canada. The airport is classified as an airport of entry by Nav Canada and is staffed by the Canada Border Services Agency (CBSA). CBSA officers at this airport can handle small airline and general aviation aircraft only, with no more than 15 passengers. The facility can be used only by floatplanes and seaplanes. In 2007, the link to Vancouver Harbour Water Airport was, according to the Official Airline Guide, Canada's busiest air route by the number of weekly flights.",Place,Infrastructure,Airport
"Silchar Airport (IATA: IXS, ICAO: VEKU) is located in Silchar in the state of Assam, India built by the British in 1944 and is also a Civil enclave airport as it is under the control of Indian Air Force. The airport is situated on the foothills of the Barail range. It is the fourth busiest airport of the north-eastern India next to Guwahati, Agartala and Imphal. Silchar Airport handles about 230,000 passengers yearly. Approximately 30 flights per week depart from the Silchar Airport for cities like Imphal, Guwahati, Kolkata, Jorhat and Agartala. It is equipped with Instrument Landing System CAT I and Night landing facility. Plans are on to set up a new integrated terminal which would facilitate modern passenger comfort and accommodate more passengers. The Indian Air Force has not thought till now of starting the night landing facility at Silchar Airport. The airport area is surrounded by tea gardens, so one can enjoy a nice and a clear view of those tea gardens during take off and landing. On 15 March 2003 Indian Airlines (now Air India) started using ATR 42-320 (operated by Alliance Air) aircraft to Kolkata, Imphal and Guwahati routes. After a long wait for many years the runway and apron extension work finally stabilized on August 2007 and then the last Boeing 737-200 flight took off for Kolkata on 2 September 2007 which was operated by Alliance Air (present name Air India Regional) and from the next day itself Air India started operating Airbus A320 on Kolkata route as the old Boeing 737-200 aircraft were not in safety zone in terms of flying purpose. On May 2011 JetKonnect a subsidiary company of Jet Airways introduced daily flights on Kolkata and Guwahati routes using their ATR 72 aircraft.",Place,Infrastructure,Airport
"Vancouver Harbour Flight Centre, previously Vancouver Harbour Water Airport or Vancouver Coal Harbour Seaplane Base (IATA: CXH, ICAO: CYHC), is located at Coal Harbour in Vancouver, British Columbia, Canada. The flight centre is within walking distance of the HeliJet heliport and Waterfront Station, a public transit hub in Downtown Vancouver. After five years of preparation, consultation and construction, Vancouver Harbour Flight Centre seaplane terminal opened for passenger service on May 25, 2011. The Vancouver Harbour Flight Centre is a partnership between the Clarke Group of Companies and Ledcor Group of Companies. It is classified as an airport and as an airport of entry by Nav Canada. It is staffed by the Canada Border Services Agency (CBSA). CBSA officers at this airport can handle general aviation aircraft only, with no more than 15 passengers.",Place,Infrastructure,Airport
"First Flight Airport (IATA: FFA, ICAO: KFFA, FAA LID: FFA) is a public use airport located one nautical mile (2 km) west of the central business district of Kill Devil Hills, a town in Dare County, North Carolina, United States. The airport is owned by the U.S. National Park Service. It is included in the National Plan of Integrated Airport Systems for 2011–2015, which categorized it as a general aviation facility. The airport itself is famous for being the site of hundreds of pre-flight gliding experiments carried out by the Wright brothers. The Wright Brothers National Memorial, located atop nearby Kill Devil Hill, is a 60-foot granite pylon paying homage to the Wright Brothers and the first sustained heavier-than-air flight. The U.S. Centennial of Flight Commission also chose the airport as one of the stops for the National Air Tour 2003.",Place,Infrastructure,Airport
"Colmar – Meyenheim Air Base (Base aérienne Colmar-Meyenheim) was an airbase in Meyenheim, in the Alsace region of France, near the German and Swiss borders. After its closure in 2010, it was renamed to Quartier Colonel Dio and is now the home to the Chad French Army Regiment. The base is 15 km south of Colmar, east of Autoroute A35. The base is bordered by farmland to the west, and surrounded by forest on its other sides.",Place,Infrastructure,Airport
"Hanna Airport, (TC LID: CEL4), is located 1 nautical mile (1.9 km; 1.2 mi) southeast of Hanna, Alberta, Canada.",Place,Infrastructure,Airport
"Inisheer Aerodrome (IATA: INQ, ICAO: EIIR) is located on the island of Inisheer (Irish: Inis Oírr), one of the Aran Islands in Galway Bay off the coast of County Galway, Ireland. This aerodrome is licensed by the Aeronautical Services Department of the Irish Aviation Authority. Service to Connemara Airport is provided by Aer Arann Islands, an airline which also serves the other Aran Islands: Inishmaan (Inis Meáin) and Inishmore (Inis Mór).",Place,Infrastructure,Airport
"Minatitlán/Coatzacoalcos National Airport (IATA: MTT, ICAO: MMMT) is an international airport located in Cosoleacaque, Veracruz, Mexico, near Minatitlán. It handles national and international air traffic for the cities of Minatitlán and Coatzacoalcos and the south-eastern region of Veracruz state. In 2014, the airport handled 234,749 passengers, and in 2015 it handled 255,603 passengers.",Place,Infrastructure,Airport
"Sandefjord Airport, Torp (Norwegian: Sandefjord lufthavn, Torp; IATA: TRF, ICAO: ENTO) is an international airport located 4 nautical miles (7.4 km; 4.6 mi) northeast of Sandefjord, Norway and 110 kilometers (68 mi) south of Oslo. The airport features a 2,989-meter (9,806 ft) runway aligned 18/36. Torp partially serves as a regional airport for Vestfold and in part as a low-cost airport for Eastern Norway. Widerøe have a base at Torp, serving both domestic and international destinations. It also sees scheduled flights by Norwegian Air Shuttle, Ryanair, Wizzair and KLM Cityhopper. The airport served 1,851,181 passengers in 2013. The airport was built largely with NATO funding as one of several bases to be used by the United States Air Force in case of war. Construction started in 1953 and the airport was opened on 2 July 1956. By then the military interest in the airport had dwindled. Civilian flights commenced in 1958 and in 1960 a municipal airport company was established to run a civilian sector. Vestfoldfly started operations the following year, and through a series of name changes and acquisitions has become the basis for Widerøe's operations at Torp. International services commenced in 1985 and Mediterranean charter services in 1992. The airport went through an expansion in the 1960s and in 1997 became a destination for Ryanair, who marketed it as an airport serving Oslo.",Place,Infrastructure,Airport
"Tappahannock Municipal Airport (FAA LID: W79) was a town-owned public-use airport located one nautical mile (1.85 km) west of the central business district of Tappahannock, a town in Essex County, Virginia, United States. It was located south of the intersection of Route 17 & Airport Road. The airport closed in 2007, following the opening of Tappahannock-Essex County Airport (FAA LID: XSA).",Place,Infrastructure,Airport
"Ozark Regional Airport (IATA: WMH, ICAO: KBPK, FAA LID: BPK), also known as Baxter County Airport, is a county-owned public-use airport located four nautical miles (5 mi, 7 km) northwest of the central business district of Mountain Home, a city in Baxter County, Arkansas, United States. It was known as Baxter County Regional Airport until 2005. The airport used to be served by Lone Star Airlines who operated services to Dallas-Fort Worth International in the mid-1990s. This airport is included in the National Plan of Integrated Airport Systems for 2011–2015, which categorized it as a general aviation facility. Although most U.S. airports use the same three-letter location identifier for the FAA and IATA, Ozark Regional is assigned BPK by the FAA and WMH by the IATA. The airport's ICAO identifier is KBPK.",Place,Infrastructure,Airport
