Y1,Y2,Y,Domain,area,keywords,Abstract
5,0,72,Medical , Addiction  , incentives; parolees; contingency management; drug use; rearrest; employment        ,"This study was a randomized effectiveness trial of the use of incentives to improve treatment retention and post-treatment outcomes among parolees in community treatment. Parolees entering community treatment were randomized to incentives (N = 104) or brief education (N = 98). It was hypothesized that the use of incentives to increase treatment retention would result in improved post-treatment outcomes (i.e., arrest, employment, and drug use), but at 18 months post-intake, there were no group differences for any outcome. In secondary analyses, rearrest by 18 months post-intake was predicted by substance use, greater number or severity of psychological symptoms, treatment non-completion, unemployment, and younger age. Contrary to expectations, results indicated that participants who received incentives for attendance had arrest, employment, and drug use outcomes similar to those who received a brief education session. Our findings, in concert with those of several other researchers, suggest that there may be certain populations or settings where incentives may not be effective."
5,0,72,Medical , Addiction  , Compulsive usage; Social apps; Universal access and usability; Personality traits; Technostress        ,"With the rapid development of mobile communications technologies, social apps (e.g., Line, WeChat) have emerged as important communication tools. Although social apps provide people with additional convenience, overuse of such applications may have negative life effects, such as technostress and distraction. Past research has indicated that personality attributes contribute to compulsive usage. This study explores the relationships between personality attributes and compulsive usage of social apps, and examines the impact of technostress on academic performance. A total of 136 valid questionnaires were collected from university students through an online survey. Fourteen proposed hypotheses were examined using SmartPLS software. The results indicate that extraversion, agreeableness, and neuroticism have significant effects on compulsive usage of mobile social applications. Compulsive usage had a significant positive impact on technostress but did not negatively affect academic self-perception and course grades. In addition, conscientiousness significantly influenced academic self-perception. Unexpectedly, gender and number of friends had little influence on technostress or compulsive usage. The implications of these findings are discussed and directions for future research are offered. (C) 2016 Elsevier Ltd. All rights reserved."
5,0,72,Medical , Addiction  , Drug use; Addiction; Attitudes; Drug trafficking; Russian university students        ,"This article deals with research of Russian university student attitudes toward drug use. Research was conducted in 2015; and, 150 students from Smolensk universities took part. The sample consists of three age groups of students: 17-18, 19, and 20 years and older. Study results show students view people with addiction in a negative context - weak, stupid, unreliable, and unhappy. Also, attitudes reflect support for extreme punishment of drug traffickers for drug distribution blaming Roma ""Gypsies."" Age of the student respondents was a significant factor affecting attitudes - older students have a more negative attitude about people with addiction and are more inclined to call for harsh punishment. Study results provide usable information for drug policy, education and prevention efforts in Russia."
5,0,72,Medical , Addiction  , Tobacco abstinence symptoms; Relapse; Negative affect; Craving; Growth curve analysis; Relapse        ,"This study aimed to examine the associations of individual trajectories of three types of negative affect (NA: anxiety, depression, and anger) and craving during a 44-day period of incentivized smoking abstinence period with cessation outcome at 3 months and at 1 year. Adult smokers (N = 140) completed questionnaire assessments of NA and craving during pre-quit baseline sessions and 15 postquit sessions over the 45 days of biochemically verified abstinence while on nicotine or placebo patch treatment. Growth curve and logistic regression analyses were used to examine the associations of trajectory parameters of the individual NA states and craving with the abstinence outcomes at 3 months and 1 year postquit. Greater declines in anxiety, depression, and anger symptoms over the first 44 days of smoking cessation were predictive of higher odds of abstinence at both 3 months and 1 year. Moreover, the greater declines in anxiety and anger remained as significant predictors of abstinence at both time points, independent of the predictive ability of the trajectory profiles of craving. The findings suggest that slower dissipation of NA, especially anxiety and anger, represents a greater risk for relapse to smoking beyond that predicted by craving during early abstinence. Thus, temporal profiles of the affective symptoms convey unique motivational significance in relapse. Reduction in NA during early abstinence may be a valid target for interventions to increase long-term cessation success rates particularly among individuals with refractory affective symptoms."
5,0,72,Medical , Addiction  , PTSD; Opioid addiction; Childhood maltreatment        ,"A range of risk factors lead to opioid use and substance-related problems (SRP) including childhood maltreatment, elevated impulsivity, and psychopathology. These constructs are highly interrelated such that childhood maltreatment is associated with elevated impulsivity and trauma-related psychopathology such as posttraumatic stress disorder (PTSD), and impulsivity particularly urgency and PTSD are related. Prior work has examined the association between these constructs and substance-related problems independently and it is unclear how these multi-faceted constructs (i.e., maltreatment types and positive and negative urgency) are associated with one another and SRP. The current study used structural equation modeling (SEM) to examine the relations among childhood maltreatment, trait urgency, PTSD symptoms, and SRP in a sample of individuals with a history of opioid use. An initial model that included paths from each type of childhood maltreatment, positive and negative urgency, PTSD and SRP did not fit the data well. A pruned model with excellent fit was identified that suggested emotional abuse, positive urgency, and negative urgency were directly related to PTSD symptoms and only PTSD symptoms were directly related to SRP. Furthermore, significant indirect effects suggested that emotional abuse and negative urgency were related to SRP via PTSD symptom severity. These results suggest that PTSD plays an important role in the severity of SRP. (C) 2017 Elsevier Ltd. All rights reserved."
5,0,72,Medical , Addiction  , Addiction; Adolescents; Diversity of gambling formats; Internet gambling; Time spent gambling        ,"Internet gamblers have more problems gambling than land-based gamblers, but recent studies showed that Internet gamblers are involved in a higher number of gambling activities, which may confound the relationship between Internet gambling and gambling problems. The present study aimed to test whether the relationship between Internet gambling and gambling problems persisted when including variables related to gambling involvement as predictors, namely time spent gambling and diversity of gambling formats. Data from a large sample of French adolescents (n = 9910) were used. Associations between disordered gambling/money spent gambling with Internet gambling were performed using generalized linear models, not controlling and controlling for diversity of gambling formats and time spent gambling. The results showed that Internet gamblers had significantly more problems than land based gamblers. The relationship decreased when diversity of gambling formats and time spent gambling were controlled separately, and became non-significant when they were both included in the model. To conclude, time spent gambling and diversity of gambling formats rather than Internet gambling should be considered a detrimental gambling behavior. They seemed to capture different aspects of gambling patterns. This study was a step forward in changing the conceptual model of problem gambling, with gambling involvement as a main variable. (C) 2017 Elsevier Ltd. All rights reserved."
5,0,72,Medical , Addiction  , beta 2-AR; anxiety; depression; reward; cocaine        ,"It is well known that beta-adrenoceptors (beta-ARs) play a critical role in emotional arousal and stressful events, but the specific contributions of the beta 2-AR subtype to the psychological disorders are largely unknown. To investigate whether beta 2-AR are involved in anxiety-like behavior and reward to addictive drugs, we conducted a series of behavioral tests on beta 2-AR knock-out (KO) mice. beta 2-AR KO mice exhibited increased preference for the dark compartment and closed arm in tests of Light/Dark box and elevated plus maze, indicating that beta 2-AR deletion elevates level of anxiety or innate fear. beta 2-AR KO mice also showed decreased immobility in tail suspension test (TST), suggesting that beta 2-AR deletion inhibits depression-like behavior. Interestingly, beta 2-AR ablation did not change basal locomotion but significantly increased locomotor activity induced by acute cocaine administration. beta 2-AR KO mice showed enhanced place preference for cocaine, which could be attenuated by b 1-selective AR antagonist betaxolol. Consistently, beta 2-AR agonist suppressed cocaine-conditioned place preference (CPP). These data indicate that beta 2-AR deletion enhances acute response and reward to cocaine. Our results suggest that beta 2-AR regulates anxiety level, depression-like behavior and hedonic properties of cocaine, implicating that beta 2-AR are the potential targets for the treatment of emotional disorders and cocaine addiction."
5,0,72,Medical , Addiction  , HER2; EGFR; UPR; Akt; breast cancer        ,"Many breast cancer deaths result from tumors acquiring resistance to available therapies. Thus, new therapeutic agents are needed for targeting drug-resistant breast cancers. Drug-refractory breast cancers include HER2+ tumors that have acquired resistance to HER2-targeted antibodies and kinase inhibitors, and ""triple-Negative"" Breast Cancers (TNBCs) that lack the therapeutic targets Estrogen Receptor, Progesterone Receptor, and HER2. A significant fraction of TNBCs overexpress the HER2 family member Epidermal Growth Factor Receptor (EGFR). Thus agents that selectively kill EGFR+ and HER2+ tumors would provide new options for breast cancer therapy. We previously identified a class of compounds we termed Disulfide bond Disrupting Agents (DDAs) that selectively kill EGFR+ and HER2+ breast cancer cells in vitro and blocked the growth of HER2+ breast tumors in an animal model. DDA-dependent cytotoxicity was found to correlate with downregulation of HER1-3 and Akt dephosphorylation. Here we demonstrate that DDAs activate the Unfolded Protein Response (UPR) and that this plays a role in their ability to kill EGFR+ and HER2+ cancer cells. The use of breast cancer cell lines ectopically expressing EGFR or HER2 and pharmacological probes of UPR revealed all three DDA responses: HER1-3 downregulation, Akt dephosphorylation, and UPR activation, contribute to DDA-mediated cytotoxicity. Significantly, EGFR overexpression potentiates each of these responses. Combination studies with DDAs suggest that they may be complementary with EGFR/HER2-specific receptor tyrosine kinase inhibitors and mTORC1 inhibitors to overcome drug resistance."
0,13,13,CS , Algorithm design  , Deep learning; Deep belief networks; feature learning; unsupervised learning; Boltzmann Machine; neural nets        ,"The rapid increase of information and accessibility in recent years has activated a paradigm shift in algorithm design for artificial intelligence. Recently, Deep Learning (a surrogate of Machine Learning) have won several contests in pattern recognition and machine learning. This review comprehensively summarises relevant studies, much of it from prior state-of-the-art techniques. This paper also discusses the motivations and principles regarding learning algorithms for deep architectures."
0,13,13,CS , Algorithm design  , Semantic web; ontology evaluation; ontology visualization; descriptive vector; key concept; user navigation        ,"The paper focuses on the field of ontology evaluation and visualization. Ontologies represent the essential technology for the development of the Semantic web applications. This technology has been proven to be useful in a range of applications for data manipulation and administration. The paper introduces an ontology visualization approach based on descriptive vectors. It offers the design of descriptive vectors representation for an ontology domain and also the algorithm design for generation of the descriptive vectors. This approach offers quick overview of the given ontologies content. In addition, this work presents the design of methods for comparison and evaluation of various ontologies based on descriptive vectors. Moreover, it introduces a method for ontology placing in the context within an ontological space (the map). Finally, a method for administration of user navigation in the ontological space is presented."
0,13,13,CS , Algorithm design  , Networked Measurement; PTP; IEEE 1588; Network Clock Synchronization        ,"This paper proposed a universal method for implementing PTP (Precision Time Protocol) for test systems with the 1000M Ethernet Interface. To achieve the synchronization accuracy of sub-microsecond, the configurable real-time clock and the time stamp module were realized in the programmable logic which makes the PHY and MAC to be free of time stamp functions in the communication link. PTPd (Precision Time Protocol deamon, an open source implementation) was modified and transplanted into the embedded Linux system to realize PTP state machine while the IEEE 1588 IP core device driver was developed to provide the application layer with access to the accurate time-stamp obtained in link layer by IEEE 1588 IP core. This project structure makes the transplantation process concentrate on the time adjustment algorithm design in the application layer regardless of obtaining a precise time stamp in the hardware. The proposed method was evaluated on the Xilinx Zynq-7000 SOC platform by outputting PPS (Pulse Per Second) which can verify the synchronization accuracy of all nodes (master and slaves) in the network. After quantifying the accuracy and stability of the synchronization offset, we concluded that clock frequency offset and network transmission delay are the main influence factors for synchronization and proved the feasibility of maintaining submicrosecond-level synchronization accuracy within multi-level switch topology."
0,13,13,CS , Algorithm design  , Energy harvesting; queueing; lyapunov control; two timescale        ,"In this paper, we develop optimal sleep/wake scheduling algorithms for smart mobile devices that are powered by batteries and are capable of harvesting energy from the environment. Using a novel combination of the two-timescale Lyapunov optimization approach and weight perturbation, we first design the Optimal Sleep/wake scheduling Algorithm (OSA), which does not require any knowledge of the harvestable energy process. We prove that OSA is able to achieve any system performance that is within O(epsilon) of the optimal, and explicitly compute the required battery size, which is O(1/epsilon) We then extend our results to incorporate system information into algorithm design. Specifically, we develop the Information-aided OSA algorithm (IOSA) by introducing a novel drift augmenting idea in Lyapunov optimization. We show that IOSA is able to achieve the O(epsilon) close-to-optimal utility performance and ensures that the required traffic buffer and energy storage size are O(log(1/epsilon)(2)) with high probability."
0,13,13,CS , Algorithm design  , PTZ camera; real-time implementation; face detection; face tracking; OpenCV        ,"Conventional online education platforms implement a combination of static and PTZ (Pan-Tilt-Zoom) cameras which are not only costly but also require operators and high computational power. In this paper, we establish a real-time face tracking system based on a single PTZ camera with automatic operation as a cost effective solution. The proposed system takes into account the camera movement and network delays in the tracking algorithm design while maintaining cost and flexibility in practical implementation."
